p_value	contig_family	contig_genus	contig_species	contig_genome	compare_family	compare_genus	compare_species	compare_genome	contig_id
-31642.864592	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	1000
-31647.266960	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	1000
-31650.864384	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	Ehrlichia_chaffeensis_Arkansas_uid57933	1000
-31764.099907	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	Cellulophaga_algicola_DSM_14237_uid62159	1000
-31729.608442	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	Cellulophaga_lytica_DSM_7489_uid63401	1000
-31891.019005	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	Capnocytophaga_canimorsus_Cc5_uid70727	1000
-31975.801434	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga ochracea	Capnocytophaga_ochracea_DSM_7271_uid59197	1000
-32253.633843	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	1001
-32277.559750	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	1001
-32251.678926	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	Ehrlichia_chaffeensis_Arkansas_uid57933	1001
-32323.385062	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	Cellulophaga_algicola_DSM_14237_uid62159	1001
-32305.812332	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	Cellulophaga_lytica_DSM_7489_uid63401	1001
-32432.775653	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	Capnocytophaga_canimorsus_Cc5_uid70727	1001
-32478.566936	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga ochracea	Capnocytophaga_ochracea_DSM_7271_uid59197	1001
-31135.271610	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	1002
-31130.053441	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	1002
-31165.361014	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	Ehrlichia_chaffeensis_Arkansas_uid57933	1002
-31305.793026	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	Cellulophaga_algicola_DSM_14237_uid62159	1002
-31238.508706	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	Cellulophaga_lytica_DSM_7489_uid63401	1002
-31444.253209	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	Capnocytophaga_canimorsus_Cc5_uid70727	1002
-31529.614488	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga ochracea	Capnocytophaga_ochracea_DSM_7271_uid59197	1002
-31618.473276	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	1003
-31610.659939	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	1003
-31624.794221	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	Ehrlichia_chaffeensis_Arkansas_uid57933	1003
-31741.556972	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	Cellulophaga_algicola_DSM_14237_uid62159	1003
-31704.346572	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	Cellulophaga_lytica_DSM_7489_uid63401	1003
-31871.568343	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	Capnocytophaga_canimorsus_Cc5_uid70727	1003
-31942.094030	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Flavobacteriaceae	Capnocytophaga	Capnocytophaga ochracea	Capnocytophaga_ochracea_DSM_7271_uid59197	1003
-30760.162707	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	1004
-30731.744304	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	1004
-30785.613882	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	Ehrlichia_chaffeensis_Arkansas_uid57933	1004
-30923.130159	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	Cellulophaga_algicola_DSM_14237_uid62159	1004
