p_value	contig_family	contig_genus	contig_species	contig_genome	compare_family	compare_genus	compare_species	compare_genome	contig_id
-6267.764432	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	1000
-6272.404274	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	1000
-6311.053183	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	Ehrlichia_chaffeensis_Arkansas_uid57933	1000
-6920.596662	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Neorickettsia	Neorickettsia risticii	Neorickettsia_risticii_Illinois_uid58889	1000
-6902.498039	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Neorickettsia	Neorickettsia sennetsu	Neorickettsia_sennetsu_Miyayama_uid57965	1000
-7311.981559	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Anaplasma	Anaplasma marginale	Anaplasma_marginale_Maries_uid57629	1000
-7332.272110	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Anaplasma	Anaplasma centrale	Anaplasma_centrale_Israel_uid42155	1000
-6853.046445	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Anaplasma	Anaplasma phagocytophilum	Anaplasma_phagocytophilum_HZ_uid57951	1000
-6495.183284	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus	Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel_uid61645	1000
-6542.271904	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Brugia malayi	Wolbachia_endosymbiont_TRS_of_Brugia_malayi_uid58107	1000
-6333.797893	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	Cellulophaga_algicola_DSM_14237_uid62159	1000
-6300.378377	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	Cellulophaga_lytica_DSM_7489_uid63401	1000
-6365.144644	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Flavobacterium	Flavobacterium columnare	Flavobacterium_columnare_ATCC_49512_uid80731	1000
-6464.189339	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	Flavobacterium_psychrophilum_JIP02_86_uid61627	1000
-6494.731129	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Flavobacterium	Flavobacterium branchiophilum	Flavobacterium_branchiophilum_FL_15_uid73421	1000
-6499.843040	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Flavobacterium	Flavobacterium johnsoniae	Flavobacterium_johnsoniae_UW101_uid58493	1000
-6344.624751	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Flavobacterium	Flavobacterium indicum	Flavobacterium_indicum_GPTSA100_9_uid157999	1000
-6680.746740	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	Capnocytophaga_canimorsus_Cc5_uid70727	1000
-6740.101873	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga ochracea	Capnocytophaga_ochracea_DSM_7271_uid59197	1000
-6605.456995	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Thermotogaceae	Fervidobacterium	Fervidobacterium nodosum	Fervidobacterium_nodosum_Rt17_B1_uid58625	1000
-6780.824192	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Thermotogaceae	Fervidobacterium	Fervidobacterium pennivorans	Fervidobacterium_pennivorans_DSM_9078_uid78143	1000
-6819.110898	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Thermotogaceae	Thermotoga	Thermotoga lettingae	Thermotoga_lettingae_TMO_uid58419	1000
-7066.152652	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Thermotogaceae	Thermotoga	Thermotoga thermarum	Thermotoga_thermarum_DSM_5069_uid68449	1000
-7626.824182	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Thermotogaceae	Thermotoga	Thermotoga neapolitana	Thermotoga_neapolitana_DSM_4359_uid59065	1000
-7535.089136	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Thermotogaceae	Thermotoga	Thermotoga naphthophila	Thermotoga_naphthophila_RKU_10_uid42777	1000
-7530.779712	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Thermotogaceae	Thermotoga	Thermotoga petrophila	Thermotoga_petrophila_RKU_1_uid58655	1000
