id,family,genus,species,cluster,length
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5085_1088432,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5086_64369,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5087_1020560,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5088_2260908,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5089_453743,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5090_731766,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5091_2226722,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5092_809443,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5093_942452,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5094_389702,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5095_924910,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5096_665641,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5097_1136844,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5098_1002348,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5099_1942412,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5100_241842,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5101_1428085,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5102_966512,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
Actinobacillus_pleuropneumoniae_serovar_7_AP76_uid59231_5103_785366,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,5,10000
