p_value	contig_family	contig_genus	contig_species	contig_genome	compare_family	compare_genus	compare_species	compare_genome	contig_id
-45575.475298	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	1000
-45587.425089	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	1000
-45606.356004	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	Ehrlichia_chaffeensis_Arkansas_uid57933	1000
-46197.930855	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	Cellulophaga_algicola_DSM_14237_uid62159	1000
-46168.806510	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	Cellulophaga_lytica_DSM_7489_uid63401	1000
-46954.434854	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	Capnocytophaga_canimorsus_Cc5_uid70727	1000
-47338.271977	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga ochracea	Capnocytophaga_ochracea_DSM_7271_uid59197	1000
-46287.014336	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	1001
-46416.126109	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	Ehrlichia_ruminantium_Welgevonden_uid58243	1001
-46285.010760	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Anaplasmataceae	Ehrlichia	Ehrlichia chaffeensis	Ehrlichia_chaffeensis_Arkansas_uid57933	1001
-46681.693300	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	Cellulophaga_algicola_DSM_14237_uid62159	1001
-46709.618496	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	Cellulophaga_lytica_DSM_7489_uid63401	1001
-47319.332930	Anaplasmataceae	Ehrlichia	Ehrlichia canis	Ehrlichia_canis_Jake_uid58071	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canimorsus	Capnocytophaga_canimorsus_Cc5_uid70727	1001
